"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AJ1","AK1","AL1","AM1","AN1","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AU4","AW1","AW2","AW3","AW4","AW5","AX1","AX2","AX3","AX4","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","KA1","KA2","KA3","KA4","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","MW4","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","WA1","REM","EQD"
"72327013897","2020-03-30T20:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","999,9,C,0000,5","07620,5,M,N","016093,5,N,5","+0183,5","+0017,5","10206,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+07620,5,99,9",,,"4,99,1,+07620,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,07620,1,99,9,99,9",,,,,,,,,,,,,,,"10210,5,09989,5","6,9,024,9,+999,9",,,,,,,,,,,,,,,,,,,"MET10503/30/20 14:53:02 METAR KBNA 302053Z 00000KT 10SM OVC250 18/02 A3015 RMK AO2 SLP206 T01830017 56024 (BLL)",
"72327013897","2020-03-30T21:00:00","4","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","016000,1,9,9","+0183,1","+0017,1","10206,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,MSL   ,+99999,+99999","08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"99999,9,09958,1","6,1,024,1,+999,9",,,,,,,,,,,,,,,,,,,"SYN06472327 32966 80000 10183 20017 39958 40206 56024 92053 555 93021=",
"72327013897","2020-03-30T21:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","999,9,C,0000,5","07620,5,M,N","016093,5,N,5","+0183,5","+0011,5","10194,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+07620,5,99,9",,,"4,99,1,+07620,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,07620,1,99,9,99,9",,,,,,,,,,,,,,,"10196,5,09976,5",,,,,,,,,,,,,,,,,,,,"MET09903/30/20 15:53:02 METAR KBNA 302153Z 00000KT 10SM OVC250 18/01 A3011 RMK AO2 SLP194 T01830011 (BLL)",
"72327013897","2020-03-30T22:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","340,5,N,0021,5","05182,5,M,N","016093,5,N,5","+0178,5","+0022,5","10193,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+05182,5,99,9","08,5,+07620,5,99,9",,"3,99,1,+05182,5,9","4,99,1,+07620,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,05182,1,99,9,99,9",,,,,,,,,,,,,,,"10196,5,09976,5",,,,,,,,,,,,,,,,,,,,"MET10603/30/20 16:53:02 METAR KBNA 302253Z 34004KT 10SM BKN170 OVC250 18/02 A3011 RMK AO2 SLP193 T01780022 (BLL)",
"72327013897","2020-03-30T23:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","330,5,N,0015,5","04572,5,M,N","016093,5,N,5","+0172,5","+0017,5","10198,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+04572,5,99,9",,,"4,99,1,+04572,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,04572,1,99,9,99,9","060,M,+0189,1","060,N,+0172,1",,,,,,,,,,,,,"10200,5,09979,5","5,9,008,9,+999,9",,,,,,,,,,,,,,,,,,,"MET11703/30/20 17:53:02 METAR KBNA 302353Z 33003KT 10SM OVC150 17/02 A3012 RMK AO2 SLP198 T01720017 10189 20172 55008 (BLL)",
"72327013897","2020-03-31T00:00:00","4","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-12","99999","V020","330,1,N,0015,1","99999,9,9,N","016000,1,9,9","+0172,1","+0017,1","10198,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,MSL   ,+99999,+99999","08,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0189,1","120,N,+0078,1",,,,,,,,,,,,,"99999,9,09948,1","5,1,008,1,+999,9",,,,,,,,,,,,,,,,,,,"SYN08072327 32966 83303 10172 20017 39948 40198 55008 92353 333 10189 20078 555 93100=",
"72327013897","2020-03-31T00:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","360,5,N,0015,5","04572,5,M,N","016093,5,N,5","+0167,5","+0022,5","10186,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+04572,5,99,9",,,"4,99,1,+04572,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,04572,1,99,9,99,9",,,,,,,,,,,,,,,"10190,5,09969,5",,,,,,,,,,,,,,,,,,,,"MET09903/30/20 18:53:03 METAR KBNA 310053Z 36003KT 10SM OVC150 17/02 A3009 RMK AO2 SLP186 T01670022 (BLL)",
"72327013897","2020-03-31T01:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","070,5,N,0026,5","03962,5,M,N","016093,5,N,5","+0156,5","+0028,5","10172,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+03962,5,99,9",,,"4,99,1,+03962,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,03962,1,99,9,99,9",,,,,,,,,,,,,,,"10176,5,09956,5",,,,,,,,,,,,,,,,,,,,"MET10603/30/20 19:53:03 METAR KBNA 310153Z 07005KT 10SM OVC130 16/03 A3005 RMK AO2 PRESFR SLP172 T01560028 (BLL)",
"72327013897","2020-03-31T02:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","350,5,N,0015,5","03658,5,M,N","016093,5,N,5","+0156,5","+0044,5","10178,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+03658,5,99,9",,,"4,99,1,+03658,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,03658,1,99,9,99,9",,,,,,,,,,,,,,,"10179,5,09959,5","5,9,019,9,+999,9",,,,,,,,,,,,,,,,,,,"MET10503/30/20 20:53:03 METAR KBNA 310253Z 35003KT 10SM OVC120 16/04 A3006 RMK AO2 SLP178 T01560044 55019 (BLL)",
"72327013897","2020-03-31T03:00:00","4","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-12","99999","V020","350,1,N,0015,1","99999,9,9,N","016000,1,9,9","+0156,1","+0044,1","10178,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,MSL   ,+99999,+99999","08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"99999,9,09928,1","5,1,019,1,+999,9",,,,,,,,,,,,,,,,,,,"SYN06472327 32966 83503 10156 20044 39928 40178 55019 90253 555 93103=",
